TAG,Reason,Opinion,Proposed predation date,Last Date Detected,maybe check the .txt files to double check
230000144205,"HP to RB in an hour and ten minutes, no other evidence for predation though",No,,,
230000144317,"Goes from RB to CU over the course of three days. No anomalies, all sequencing checks out",No,,,
230000144334,"Goes from RB to CF. No anomalies, all sequencing checks out",No,,,
230000144337,"HP to RB back to HP over four days. No anomalies, all sequencing checks out",No,,,
230000144443,Very recent recapture followed by normal movement,No,,,
230000224042,Recapture in 2022 with the loss of the tag two days later. Tag skips to CF from Wg Biomark before the CRCC was made. Very limited evidence so it's hard to say,Maybe,10/7/2022???,,
230000224064,Some movement at beginning of history. But quickly turns into a tag that’s only picked up in one place. Potential Ghost Tag,Ghost Tag?,,,
230000224390,"Skips from CF to HP, but has detections a few months after the event",No,,,
230000226063,Skips hitching post twice in one day. Going all the way up to CU and back in 24 hours. ,Yes,5/23/2025,5/23/2025,
230000226095,Only 4 detections. HP to RB in an hour and a half and RB to WG biomark 4 hours later. Evidence too limited to be certain,Maybe ,5/8/2025???,,
230000226101,"Fish moves downstream from CD to RB. No anomalies, all sequencing checks out",No,,,
230000226169,"In between CF and CU for whole history. No anomalies, all sequencing checks out",No,,,
230000226187,"Upstream movement from RB to CF in a day and a half. No anomalies, all sequencing checks out",No,,,
230000226218,"Upstream movement from RB to CF in three days. No anomalies, all sequencing checks out",No,,,
230000226256,"Skips CD/CS going upstream, but no ther sequencing issue or anomalous movements",No,,,
230000226279,"Upstream movment over three days. No anomalies, all sequencing checks out",No,,,
230000226506,Some fast movemnt between CF and CU but nothing conclusive,No,,,
230000226627,"Downstream from RR to WG biomark. No anomalies, all sequencing checks out",No,,,
230000226644,"CU to CD in half an hour in a big downstream movement, but all other sequencing checks out. Very recent tag so maybe keep your eyes on this one",No,,,
230000226669,"In between CU and CS. No anomalies, all sequencing checks out",No,,,
230000226698,Upstream movement from CS to Grandby Diversion,No,,,
230000226724,"Up to CF from CS and back down again. No anomalies, all sequencing checks out",No,,,
230000226736,Consistent downstream movemnt from CF to CD,No,,,
230000226861,"Fish released at Fraiser Ranch, Moved to CF, Then all the way up to RR. No anomalies, all sequencing checks out",No,,,
230000228030,History only consists of moblie detections in one area in Fraiser Ranch over the course of 5 years. Ghost tag,Ghost Tag,,,
230000228325,History only consists of moblie detections in one area in River Run over the course of 5 years. Ghost tag,Ghost Tag,,,
230000228419,"Fish had a couple runs in between antennas, and skipped HP antenna once, but all other movements are accounted for",No,,,
230000228688,HP to CF over the course of a month and a half. Detected at CF for the following couple months after the event,No,,,
230000228695,Skips from WG Biomark to CF over the course of 9 days before dissappearing. But no channel antennas installed,No,,,
230000228704,Skips from WG Biomark to CF but has plenty of history after. No other anomalies or incorrect sequences,No,,,
230000228783,"Stuck around HP for a long time but eventually moved upstream to CF. No anomalies, all sequencing checks out",No,,,
230000228923,RB to HP in an hour and a half for last detection. ,Yes,4/12/2025,4/12/2021,
230000228927,"Hung around HP and RB for its whole history. No anomalies, all sequencing checks out",No,,,
230000229027,"Recapture three detections before last detection. No anomalies, all sequencing checks out",No,,,
230000272346,"Moved upstream from Rb to CF. No anomalies, all sequencing checks out",No,,,
230000272463,"Moved upstream from Rb to CF. No anomalies, all sequencing checks out",No,,,
230000272498,Hit every antenna from RB to CF in a reasonable amount of time,No,,,
230000272507,"Lived between HP and RB. No anomalies, all sequencing checks out",No,,,
230000272560,Only detected at RB and HP with no fast movement ,No,,,
230000272567,Consistent upstream movement from RB to CF.,No,,,
230000272572,"Moved upstream from Rb to CF. No anomalies, all sequencing checks out",No,,,
230000272651,Moved around but no anomalous movement,No,,,
230000272822,"Started at RB, explored upstream, settled around RB",No,,,
230000272826,"Started at RB, explored upstream, settled around RB",No,,,
230000272951,"Moved around RB and HP for whole history. No anomalies, all sequencing checks out",No,,,
230000294063,Hit every antenna from RB to CF in a reasonable amount of time,No,,,
230000294110,Moved upstream past CF hitting every antenna along the way.,No,,,
230000294157,Moved around or a few months with no anomalous movement,No,,,
230000294247,Danced bewteen CS and CD before migrating to RB. Potentailly lost its tag as the next series of detections are all in the same exact spot. ,Ghost Tag?,,,
230000294255,"Hung aroudn CD mostly. No anomalies, all sequencing checks out",No,,,
230000294258,Moved downstream to HP slowly hitting every antenna on the way. ,No,,,
230000294266,Went bewtween CF and CU a few times before going upstream past CF,No,,,
230000087522,CF to CU in 12 minutes for last detection. Very short detection history so not much evidence but I'd lean towards yes if it doesn't pop up agai,Maybe,3/29/2025???,,
230000087581,CU to CS in 30 minutes and CS skips to CF in 15 minutes. Im saying this one is predated since an old tag with a smallish fish and it started in RR,Yes,11/6/2024,11/6/2024,
230000087620,Normal movement until end of hitsory. Might have lost the tag and is now a ghpst tag,Ghost Tag?,,,
230000087631,Downsrtream movement from Cf to HP without missing any antennas,No,,,
230000087768,CF to RB over the course of three day  missing every antenna along the way,Yes,3/18/2025,3/18/2025,
230000087878,Downstream movement from CF to CD hitting every antenna,No,,,
230000087890,"Four detections, two at Hp and two at RB. No evidence of predation",No,,,
230000087903,"Extremely fast movemnt from CF to CU, 10 minutes, but no other anomalous movement. Mobile detection 5 months later slightly downstream. ",No,,,
230000087905,"Mostly only detected at RB after recapture. No anomalies, all sequencing checks out",No,,,
230000087911,Very slow movement with all sequencing checking out,No,,,
230000087918,"Moved from CD up to CF. No anomalies, all sequencing checks out",No,,,
230000087946,Downstream from CU to HP with no sequencing problems,No,,,
230000087952,"Slow downstream movement from CD to RB over two days. No anomalies, all sequencing checks out",No,,,
230000087957,Slowoly made its way down to RB from CF over 6 months.,No,,,
230000087981,Moved from CD to RB ove the course of 4 days. ,No,,,
230000142547,Skipped from HP to CF but it's in 2021 before CRCC antennas. ,No,,,
230000142617,"Skipped from HP to CF weeks before the CRCC antennas were deployed. No anomalies, all sequencing checks out",No,,,
230000142695,Skipped from HP to CF but it's in 2021 before CRCC antennas. ,No,,,
230000142753,Upstream movemnt from RB to WG Biomark,No,,,
230000142817,Bounced between CD and CS for a bit before settling around HP,No,,,
230000143070,Whole history is at CF until only pickng up in River Run. Most likely fish lost it and it's now a ghost tag,Ghost Tag,,,
230000143317,"Detected only at Hp and Wg Biomark, not a very active tag with no anomalies. All sequencing checks out",No,,,
230000143491,"In between RB and HP for whole history. No anomalies, all sequencing checks out",No,,,
230000143564,CF to HP over the course of a month while no antennas were installed in the CRCC.,No,,,
230000143587,"Only can see one downstream movemnt from Hp to RB. No anomalies, all sequencing checks out",No,,,
230000143589,"Last ""detection"" is a recapture",No,,,
230000143667,Downstream movement from HP to RB from WG dam before CRCC antennas,No,,,
230000143679,Downstream movement from HP to RB from WG dam before CRCC antennas,No,,,
230000143680,"Fish settled around RB, No anomalies, all sequencing checks out",No,,,
230000143869,Went from kaibab to Grandby diversion. Then ended up around CF and CU,No,,,
230000143884,Fish eventually moved downstream from Kaibab to the area around CF and CU,No,,,
230000144206,Some movement at the beginning of the tags history but eventually settled around CF for a day before moving on,No,,,
230000144259,"Slowly migrated from WG dam to RB over two days, No anomalies, all sequencing checks out",No,,,
230000144305,Settled in between HP and RB before coming back to HP almost a year later.,No,,,
230000144312,"One movement from CU to CF. No anomalies, all sequencing checks out",No,,,
230000144372,Migrated from RR to CD in it's short history.,No,,,
230000144442,Some movement but mostly all around RB and below RB when the Mobile antenna comes thorugh. ,No,,,
230000144476,Sat on HP antenna for months. ,No,,,
230000144496,"Released 2023, Recaptured in 2024. Started detecting upstrtream movement form HP to CF in one day skipping CRCC antennas. Considering the fish is over 400mm I’m saying no predation",No,,,
230000224038,"Bounced between HP and RB.No anomalies, all sequencing checks out",No,,,
230000224043,"Detected only at HP and RB. No anomalies, all sequencing checks out",No,,,
230000224062,Downstream movement from Windy gap dam to RB in a day immedietly after release.,No,,,
230000224073,Big upstream movement from Hp to CF befroe eventually settling around CD,No,,,
230000224109,"Downstream movement from Hp to RB and back again. No anomalies, all sequencing checks out",No,,,
230000224124,"Slowly moved downstream from CF to RB. No anomalies, all sequencing checks out",No,,,
230000224144,"Detection history consists of only mobile detections, all in slightly different areas in River Run",No,,,
230000224169,Detection history consists only of mobile detections all in the samne area over years. Most likely a Ghost tag,Ghost Tag,,,
230000226035,Immeditely moved downstream after release past RB never to be seen again.,No,,,
230000226036,"Slowly worked past the RB antenna after release. No anomalies, all sequencing checks out",No,,,
230000226094,Moveed upstream past CF and eventually worked its way back down to CD. No sequencing issues,No,,,
230000226106,Slowly moved downstream from CD to RB. Fish skipped CD/CS antennas but all other movement is accounted for,No,,,
230000226109,"Moved downstream after release past RB. No anomalies, all sequencing checks out",No,,,
230000226138,"Bounced between CU and CF for whole history. No anomalies, all sequencing checks out",No,,,
230000226141,Hung around CU and CF for a couple weeks befoe moving upstream past CF,No,,,
230000226165,"Very consistent history up until the end. The last few detections are all in the same spot, migh be a ghost tag",Ghost Tag?,,,
230000226227,"Moved upstream over a month with no missing detections. No anomalies, all sequencing checks out",No,,,
230000226524,In between CF and CU but no suspisous movement.,No,,,
230000226538,"Slowly made it's way to CD from CF. No anomalies, all sequencing checks out",No,,,
230000226561,Moved downstream from CF to CD over the course of half a day. ,No,,,
230000226667,"Moved from Hp to RB and stayed there for a few days. No anomalies, all sequencing checks out",No,,,
230000226676,"Moved upsteam from below CS all the way to CF. No anomalies, all sequencing checks out",No,,,
230000226684,"Migrated upstream from CS to CF. No anomalies, all sequencing checks out",No,,,
230000226702,"Migrated upstream from CD to CF. No anomalies, all sequencing checks out",No,,,
230000226707,In between CS and CD unitl coming up to CU for one detection,No,,,
230000226720,"Upstream movement from CS to CF. No anomalies, all sequencing checks out",No,,,
230000226725,"Downstream movement with no anomalies, all sequencing checks out",No,,,
230000226839,One quick movement from CF to CU but nothing wlse out of the ordinary,No,,,
230000226851,One skip from CF to CS in four hours. No other evidence of predation though,No,,,
230000226866,Downstream movement from CF to CD hitting every antenna,No,,,
230000228336,Moved from CF to Rb over the course of 10 days. No CRCC antennas intalled,No,,,
230000228381,Downstream movement from RR to RB hitting every antenna. No CRCC antennas,No,,,
230000228405,Detection history consists only of mobile detections all in the same area in River Run over years. Most likely a Ghost tag,Ghost Tag,,,
230000228458,Detection history consists only of mibile detections in the same spot at River Run for two years. Likely a ghost tag,Ghost Tag,,,
230000228604,Upstream movement from HP to CF. No CRCC antennas,No,,,
230000228624,Upstream movement from HP to CF over the course of months. No CRCC antennas,No,,,
230000228668,Tag went undetected for three years until moving upstream from RB to CF. No skips or anomalies,No,,,
230000228685,"Only ever detected at RB.  No anomalies, all sequencing checks out",No,,,
230000228706,"Downstream movement from HP.  No anomalies, all sequencing checks out",No,,,
230000228708,"In between RB and HP for whole history. No anomalies, all sequencing checks out",No,,,
230000228788,"In between RB and HP for whole history. No anomalies, all sequencing checks out",No,,,
230000228875,Had a few detections at HP but only picked up on mobile detections a day after release. All dets in the same spot,No,,,
230000228953,upstream movement from RB to CF. No CRCC antennas intalled,No,,,
230000272079,"fish sat on WG Biomark for a couple days.  No anomalies, all sequencing checks out",No,,,
230000272133,Solid detection history before evually dying or losing its tag. Turned inot a ghost tag,Ghost Tag,,,
230000272200,Sat on RB for a day before going between Hp and RB for a bit. ,No,,,
230000272332,"In between RB and HP for whole history. No anomalies, all sequencing checks out",No,,,
230000272347,One quick detection form Rb to HP but plenty of history after that event. ,No,,,
230000272360,Great history with no problems but it either died or lost is tag at the end of 2021,Ghost Tag,,,
230000272541,"Last ""detection"" is a recapture",No,,,
230000272663,"In between HP and RB for its whole history.  No anomalies, all sequencing checks out",No,,,
230000272758,Short history before only picking up on Mobile detections three weeks after release,Ghost Tag,,,
230000294009,Rb to CU and back again hitting all antennas along the way,No,,,
230000294123,Hung around RB for a few months before moving upstream to CF.,No,,,
230000294173,"upstream movement from HP to CF .  No anomalies, all sequencing checks out",No,,,
230000294195,Small ustream movement from around CD to CU and CF. ,No,,,
230000294210,Upstream movement form CD to CF two months after release,No,,,
230000294211,Moved downstream from CD to RB. ,No,,,
230000294228,Downstream moevment a week after release. Went from Cd to Rb,No,,,
230000294230,In between CU and CF before migrating upstream to the Grandby diversion biomark,No,,,
230000294267,In between CU and CF before migrating upstream to the Grandby diversion biomark,No,,,
230000294269,Downstream movement from CD to RB. ,No,,,
230000087497,Very short history consisting of only a few detections at grandby diversion and one mobile detection,No,,,
230000087499,"Second to last ""dectection"" is a recapture followed by one mobile detection",No,,,
230000087515,Slow downstream movement from CF to CD,No,,,
230000087532,"In between CF and CU for whole history. No anomalies, all sequencing checks out",No,,,
230000087624,Released in River Run but skipped all antennas on the way down,Yes,4/3/2025,4/3/2025,
230000087704,"Moved downstream fromRiver run. No skips, all sequencinng checks out",No,,,
230000087770,Downstream movement from river run to CD,No,,,
230000087775,Downstream movement from CD to RB. ,No,,,
230000087780,Moved downstream past RB after recapture,No,,,
230000087784,Moved downstream from CS past RB before coming back upstream to RB,No,,,
230000087785,Hung around upstream antennas before settling around CU,No,,,
230000087884,Upstream movement from CD to CF immediately after release,No,,,
230000087899,Upstream movement from CD to CF immediately after release,No,,,
230000087924,Moved downstream from CD to RB. ,No,,,
230000087928,Hung around CU and CF before moving down to CD,No,,,
230000087938,Lives around CU and occasionally goes up to CF,No,,,
230000087948,Moved downstream from CF to CD over the course of three days,No,,,
230000087950,Hung aroudn CF and CU before moving upstream past CF,No,,,
230000087962,Fish sits on CF antenna and hasn’t moved,No,,,
230000087979,Migrated up to CF from Cd oncve before moving back down to CD,No,,,
230000087984,Moved downstream from CU and settled around HP,No,,,
230000142522,"Bounced between HP and RB.No anomalies, all sequencing checks out",No,,,
230000142532,HP to CF before any CRCC antennas,No,,,
230000142587,Fish hung around HP and CF. No anomalies or sequencing issues,No,,,
230000142664,Lives around RB and hasn’t moved,No,,,
230000142692,Lives around RB and hasn’t moved,No,,,
230000142752,Moved from RB to HP and back again. Settled around RB,No,,,
230000142764,"Bounced between HP and RB.No anomalies, all sequencing checks out",No,,,
230000142781,"Goes between HP and RB for whole history. No anomalies, all sequencing checks out",No,,,
230000142809,Moved from RB to HP before getting picked up on a mobile run just above the HP antenna,No,,,
230000142847,Moved from HP to RB and settled there,No,,,
230000142859,Moved from HP to RB in reasonable time,No,,,
230000142880,Fish lives around HP and hasn’t left,No,,,
230000142920,Migrated from HP to CF before CRCC antennas were installed,No,,,
230000142989,Moved from WG dam past the RB antenna. Picked up by mobile around sheriff rock ranch,No,,,
230000143156,Last picked up in 2023 on the Grandby diversion. No evidence of predation,No,,,
230000143167,"Only ever picked up on mobile antenna. Eventually only ever in the same spot, Ghost tag",Ghost tag,,,
230000143210,"Only ever picked up on mobile antenna. Eventually only ever in the same spot, Ghost tag",Ghost tag,,,
230000143291,Fish explored around WG biomark but eventually moved back to HP ,No,,,
230000143344,Moved upstream from RB to around HP,No,,,
230000143355,"Hung around HP and RB for its whole history. No anomalies, all sequencing checks out",No,,,
230000143417,"Hung around HP and RB for its whole history. No anomalies, all sequencing checks out",No,,,
230000143507,Fish moved from CF to HP over the course of 11 days. ,No,,,
230000143518,Moved slightly downstream from river run to CF,No,,,
